"Longitude","Latitude","Region","ID"
141.525,-10.375,"gbr",1000001
141.525,-9.52499999999999,"gbr",1000002
141.575,-10.375,"gbr",1000003
141.575,-9.62499999999999,"gbr",1000004
141.575,-9.52499999999999,"gbr",1000005
141.575,-9.47499999999999,"gbr",1000006
141.625,-9.62499999999999,"gbr",1000007
141.625,-9.52499999999999,"gbr",1000008
141.625,-9.47499999999999,"gbr",1000009
141.875,-10.625,"gbr",1000010
141.925,-10.625,"gbr",1000011
141.975,-9.37499999999999,"gbr",1000012
141.975,-9.32499999999999,"gbr",1000013
142.025,-10.975,"gbr",1000014
142.025,-10.925,"gbr",1000015
142.025,-10.875,"gbr",1000016
142.025,-10.525,"gbr",1000017
142.025,-10.475,"gbr",1000018
142.025,-10.375,"gbr",1000019
142.025,-10.125,"gbr",1000020
142.025,-10.075,"gbr",1000021
142.025,-9.32499999999999,"gbr",1000022
142.025,-9.27499999999999,"gbr",1000023
142.075,-10.975,"gbr",1000024
142.075,-10.925,"gbr",1000025
142.075,-10.625,"gbr",1000026
142.075,-10.475,"gbr",1000027
142.075,-10.375,"gbr",1000028
142.075,-10.325,"gbr",1000029
142.075,-10.275,"gbr",1000030
142.075,-10.225,"gbr",1000031
142.075,-10.175,"gbr",1000032
142.075,-10.125,"gbr",1000033
142.075,-10.075,"gbr",1000034
142.075,-10.025,"gbr",1000035
142.075,-9.97499999999999,"gbr",1000036
142.075,-9.92499999999998,"gbr",1000037
142.125,-10.775,"gbr",1000038
142.125,-10.725,"gbr",1000039
142.125,-10.675,"gbr",1000040
142.125,-10.625,"gbr",1000041
142.125,-10.575,"gbr",1000042
142.125,-10.525,"gbr",1000043
142.125,-10.475,"gbr",1000044
142.125,-10.425,"gbr",1000045
142.125,-10.375,"gbr",1000046
142.125,-10.325,"gbr",1000047
142.125,-10.275,"gbr",1000048
142.125,-10.225,"gbr",1000049
142.125,-10.175,"gbr",1000050
142.125,-10.075,"gbr",1000051
142.125,-10.025,"gbr",1000052
142.125,-9.97499999999999,"gbr",1000053
142.125,-9.92499999999998,"gbr",1000054
142.125,-9.87499999999999,"gbr",1000055
142.175,-10.775,"gbr",1000056
142.175,-10.575,"gbr",1000057
142.175,-10.525,"gbr",1000058
142.175,-10.475,"gbr",1000059
142.175,-10.425,"gbr",1000060
142.175,-10.375,"gbr",1000061
142.175,-10.325,"gbr",1000062
142.175,-10.275,"gbr",1000063
142.175,-10.225,"gbr",1000064
142.175,-10.175,"gbr",1000065
142.175,-10.125,"gbr",1000066
142.175,-10.075,"gbr",1000067
142.175,-10.025,"gbr",1000068
142.175,-9.97499999999999,"gbr",1000069
142.175,-9.92499999999998,"gbr",1000070
142.175,-9.87499999999999,"gbr",1000071
142.175,-9.57499999999999,"gbr",1000072
142.225,-10.825,"gbr",1000073
142.225,-10.775,"gbr",1000074
142.225,-10.625,"gbr",1000075
142.225,-10.575,"gbr",1000076
142.225,-10.525,"gbr",1000077
142.225,-10.475,"gbr",1000078
142.225,-10.425,"gbr",1000079
142.225,-10.375,"gbr",1000080
142.225,-10.325,"gbr",1000081
142.225,-10.275,"gbr",1000082
142.225,-10.225,"gbr",1000083
142.225,-10.125,"gbr",1000084
142.225,-10.075,"gbr",1000085
142.225,-10.025,"gbr",1000086
142.225,-9.97499999999999,"gbr",1000087
142.225,-9.92499999999998,"gbr",1000088
142.225,-9.87499999999999,"gbr",1000089
142.225,-9.57499999999999,"gbr",1000090
142.275,-10.725,"gbr",1000091
142.275,-10.675,"gbr",1000092
142.275,-10.575,"gbr",1000093
142.275,-10.525,"gbr",1000094
142.275,-10.475,"gbr",1000095
142.275,-10.425,"gbr",1000096
142.275,-10.375,"gbr",1000097
142.275,-10.325,"gbr",1000098
142.275,-10.275,"gbr",1000099
142.275,-10.125,"gbr",1000100
142.275,-10.075,"gbr",1000101
142.275,-9.92499999999998,"gbr",1000102
142.275,-9.87499999999999,"gbr",1000103
142.275,-9.57499999999999,"gbr",1000104
142.275,-9.52499999999999,"gbr",1000105
142.275,-9.22499999999999,"gbr",1000106
142.325,-10.875,"gbr",1000107
142.325,-10.725,"gbr",1000108
142.325,-10.675,"gbr",1000109
142.325,-10.625,"gbr",1000110
142.325,-10.575,"gbr",1000111
142.325,-10.525,"gbr",1000112
142.325,-10.475,"gbr",1000113
142.325,-10.425,"gbr",1000114
142.325,-10.325,"gbr",1000115
142.325,-10.275,"gbr",1000116
142.325,-10.225,"gbr",1000117
142.325,-10.175,"gbr",1000118
142.325,-10.125,"gbr",1000119
142.325,-10.075,"gbr",1000120
142.325,-9.92499999999998,"gbr",1000121
